F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
-110.31,1994.7,0.06,-19.28,1979.67,Rest,2810.84,-357.59,Very high,493.47,-79.29,-1034.09,-35.2,-83.94,-1210.96,14.01,1002.15,6.61,-6612.26,-114.28,2788.87,2311.42,5.12,-14.16,-10936.27,-14.44,59.22,193.89,21088.04,603.51,7,-430.95,20.45,-1495.48,1,364.01,2274.28
-146.82,1652.85,0.06,-18.12,14259.24,UK,3163.2,513.09,Low,394.05,-288.87,-541.61,-36.62,-149.14,-2154.26,-54.95,-5442.07,9.54,-14638.84,36.46,2599.42,2831.92,7.61,4.14,-8845,-15.34,119.55,-56.25,14752.4,182.46,2,-325.44,22.02,-1827.62,5,165.62,-626.52
-252.39,1849.11,4.1,-21.66,6937.8,Europe,3722.52,-149.52,Very low,503.61,-288.12,-206.2,-48.68,29.58,-1499.96,-28.97,-1871.38,4.06,-13516.92,-5.26,2305.89,2884.34,2.15,-19.65,-9028.44,-16.02,46.86,341.4,34182.68,142.56,4,-355.14,15.14,-464.48,2,193.56,270.22
-63.33,3190.74,0,-20.68,-247.41,UK,5493.16,397.67,Low,438.06,-221.01,-632.41,-36.4,15.76,-1719.82,-5.03,3618.43,3.29,432.1,-130.08,2538.36,3422.72,2.1,-6.06,-6622.92,-11.14,47.52,100.95,25756.26,169.68,1,-405.09,19.93,-955.26,3,195.73,509.89
-396.3,3229.08,0.82,-26.7,4975.17,Europe,3637.52,93.92,Low,513.51,-357,-642.96,-20.78,-152.28,-2348.26,-54.64,3736.23,0.29,-5436.8,-105.4,2598.78,2152.72,3.57,-3.81,-6838.11,1.8,51.96,337.11,33192.12,512.16,1,-322.08,16.9,-1982.26,5,158.41,134.27
-426.69,2159.61,8.72,-18.98,10705.23,Rest,2580.16,266.97,Low,462.27,-247.65,-842.49,-40.96,-31.8,-597.74,13.2,1188.05,3.89,-9798.92,-153.32,2499.11,3476.14,1.66,-23.13,-7072.38,-19.92,44.43,191.79,23645.3,339.57,5,-197.37,17.98,-1492.26,5,175.53,578.76
-298.95,2423.07,0.54,-20.58,3663.69,USA,4070.66,-234.07,High,62.1,-436.53,-740.88,-41.54,-20.38,-1915.38,-78.42,9061.18,5.7,-11172.42,-11.1,2007.44,2408.84,3.93,-5.13,-7850.27,-21.32,44.34,330.63,19510.88,256.56,2,-494.55,30.96,-1599.28,6,174.46,606.25
1.74,2036.46,2.04,-14.48,6666.3,UK,5125.5,574.05,Medium,546.72,-133.2,13.61,-31.38,-66.8,-1097.06,18.65,-3003.51,6,-10194.34,-105.42,2504.21,2728.98,5.64,-9.27,-5409.23,6.34,70.29,618.54,19164.98,212.25,2,-202.41,20.91,-1496.1,3,128.84,2326.05
-270.63,2263.86,11.14,-29.52,4125.42,UK,3816.12,94.82,Medium,359.34,-140.46,-365.67,-36.86,-65.36,-755.56,-34.69,5949.16,0.4,-12338.66,-111.78,2686.45,2278.44,1.19,-3.78,-11398.8,-12.54,47.28,420.57,18788.64,265.29,4,-385.17,26.54,-1774.54,4,186.62,332.23
-450.63,2841.63,0.16,-18.78,22596.63,Europe,3860.52,293.8,Very high,535.35,-366.51,-403.3,-35.42,-51,-1820.58,-10.31,2887.39,5.33,-11599.92,-47.18,2794.73,2537.5,4.28,-4.92,-5340.2,-14.62,50.1,322.89,19068.42,335.97,9,-199.98,18.41,-1081.26,5,182,202.36
-258.93,1912.65,0.12,-16.58,-3703.38,UK,4334.32,268.77,High,466.89,-70.68,-349.82,-40.4,-4.62,-2021.8,-1.39,6943.79,-0.78,1261.98,-44.38,2433.08,2666.02,1.07,-19.68,-11081.37,-14,40.95,272.49,20458.1,260.01,4,-240.99,18.91,-1046.44,3,180.47,2050.6
-36.48,2425.29,1149.18,-28.7,11271.84,Rest,3670.42,448.33,Very low,488.25,-436.08,-918.67,-43.58,-51.04,-2369.08,10.89,3307.03,9.18,-13571.32,-144.96,2428.18,2875.02,5.78,0.72,-7706.9,-20.86,53.31,411.51,13654.04,76.41,3,-336.51,18.36,-1129.8,3,216.76,1478.39
-317.19,1144.5,1.5,-26.12,-4314.54,USA,4605.14,30.38,High,471.18,-267.99,-813.38,-34.36,-23.44,-2564.96,-20.33,-899.1,-0.37,-6219.9,-83.28,2300.13,3077.3,4.07,39.6,-11688.97,-17.62,56.22,178.59,14636.46,99.45,3,-347.49,18.55,-966.42,6,207.73,-69.09
-297.57,2037.81,0.36,-19.2,3380.19,USA,3148.06,181.67,Medium,487.77,-159.96,-568.55,-52.52,-28.02,-2369.34,-26.43,3031.81,7.12,-11301.72,-34.66,2658.84,3131.1,1.04,-17.64,-9088.29,-25.1,40.65,-82.02,17224.84,225.69,1,-367.02,28.3,-1635.76,5,160.15,780.6
-222.27,1652.94,0.42,-12.22,-3829.32,Rest,4676.06,263.6,Very high,365.49,-290.61,-754.96,-36.66,-93.16,-1337.5,-60.99,3525.79,-0.06,-7568.64,-206.62,2637.94,3296.9,1.9,-12.99,-10221.41,-14.92,74.13,409.2,14921.98,143.25,2,-366.72,18.19,-1777.28,6,141.61,3223.24
-124.68,424.14,20.32,-18.52,2272.26,UK,4124.56,338.23,Low,740.55,-458.01,-723.96,-51.72,-39.34,-1559.64,-54.31,-28.9,2.19,-16247.04,-88.82,2407.37,2314.46,5.95,-5.94,-9733.78,-15.94,55.71,305.16,24401.26,241.86,5,-441.51,20.56,-1240,6,202.25,-788.19
-175.14,1205.01,4.86,-33.76,11631.09,Europe,4150.82,361.6,Very high,664.53,-277.02,-315.72,-29.04,-106.64,-1808.2,-52.74,5473.77,0.62,-13062.32,3.76,1843.42,2617.92,4.12,-30.15,-5773.7,-13.62,34.08,366.06,15390.32,243.09,4,-349.95,15.49,-1383.94,3,169.8,-17.79
-224.01,2229.63,7,-20.04,6705.06,UK,3716.24,-112,Medium,197.82,-291.09,-609.86,-27.98,-84.54,-967.78,-31.59,-470.93,9.48,4529.44,-42.44,2529.9,2029.9,9.92,-14.58,-15080.25,-17.5,52.59,210.72,14301.42,144.45,3,-229.41,17.53,-1770.16,1,151.44,2817.45
-307.92,1608.54,0.58,-19.46,14611.11,USA,801.78,197.36,Very high,518.61,-353.25,-230.17,-38.5,3.62,-2628.28,-24.05,4563.34,-2.83,-9829.82,-84.6,2340.42,2230.96,6.49,-7.86,-10356.08,-24.64,46.47,379.74,18860.04,241.77,2,-391.23,23.52,-1274.5,3,151.17,1503.06
-311.79,846.27,30.4,-23,7008.48,Rest,3704.42,213.6,Very low,481.71,-148.17,-846.37,-36.8,-9.56,-1447.96,-14.31,5089.55,3.4,-8943.32,-34.66,2295.27,2486.06,0.82,-8.01,-11825.34,-10.98,5.91,315.15,19075.56,351.87,3,-341.97,28.88,-381.84,2,173.84,1005
-235.83,1579.32,0.7,-20.08,-5944.32,USA,5202.42,-66.17,Very high,625.89,-255.24,-881.99,-46.66,-100.9,-1426.54,-22.76,-1910.28,0.51,-5866,-131.52,3385.31,2193.6,1.2,-2.04,-10015.38,-12.88,81.63,260.04,18905.26,211.14,4,-319.17,28.32,-1677.3,3,171.26,1242.66
-268.8,1146.66,3.12,-28.52,11186.7,UK,3918.26,104.72,High,435.42,-369.78,-851.42,-41.84,-20.7,-569.2,-35.49,-230.23,0.65,-12474.42,-93.92,1615.77,2162.68,4.2,-2.16,-7276.33,3.72,48.48,488.55,14408.8,257.04,3,-357.66,20,-459.98,6,227.33,-1184.4
-275.31,1062.99,10.12,-17.58,-3390.57,UK,4111.8,313.74,Low,424.59,-358.92,-326.87,-42.22,40.7,-2539.3,-74.02,4298.67,-1.3,-7007.68,-30.12,1390.89,2302.46,4.42,2.55,-9475.87,-13.14,46.65,324.27,16193.4,191.97,5,-415.77,19.6,-1591.54,1,171.31,1821.42
37.14,956.79,959.98,-13.92,3766.41,Europe,4413.86,722.75,High,487.23,-252.3,-247.52,-38.94,-91.2,-493.24,-11.8,1128.44,4.24,-9542.64,-129.12,2733.81,2815.44,1.88,-5.67,-8969.56,-12.56,54.81,351.24,29486.24,303.45,5,-176.61,20.1,-1789.74,4,200.72,1327.06
-232.98,1484.01,3.12,-19.22,15995.37,UK,2916.26,-223.97,High,266.61,-266.61,-635.27,-46.68,-101,-1773.72,-65.56,3169.56,2.53,-7809.9,-85.5,2651.57,3053.4,1.1,-2.07,-15376.26,-12.1,51.3,270.99,8287.3,585.99,6,-387.9,19.42,-1336.46,4,165.98,1884.64
-234.3,2860.95,3.16,-15.52,17634.51,UK,3400.46,115.28,Very high,642.99,-262.29,-554.35,-38.78,-113.54,-1734.22,6.07,1645.48,2.88,-15261.16,-71.78,1439.71,2809.02,1.27,-8.73,-8923.22,-2.86,29.46,336.93,17763.28,-28.32,5,-253.05,24.86,-2262.72,4,185.72,2784.99
-259.68,726.3,0.52,-25.42,23595.6,USA,4292.3,296.56,Medium,623.1,-408.72,-668.16,-30.86,44.56,-938.46,-62.18,698.21,0.87,-10262.06,-104.86,1703.95,2761.64,4.06,-4.05,-13123.18,-29.04,44.28,241.08,21396.5,371.43,4,-218.76,16.91,-1827.58,3,141.42,82.37
-201.21,2768.13,0.06,-26.02,-4804.86,Europe,2453.74,21,Very high,571.74,-296.52,-1089.13,-39.82,21.78,-1495.76,-55.73,2648.25,6.23,2119.68,-74.78,3481.26,3058.84,1.02,-9.84,-8047.47,-8.32,44.85,207.93,27009.5,319.08,5,-174.84,13.98,-615.1,6,277.97,30.11
-150.39,1351.68,0.72,-14.3,1416.66,Rest,2968.44,152.05,Medium,331.08,-357.78,-485.23,-34.24,-65.02,-1137.28,-21.81,4379.93,-0.82,-7429.46,5.32,2433.39,3212.34,5.12,0.12,-5556.2,-1.96,41.58,362.43,25384.98,219.21,4,-221.97,18.52,-2218.74,5,155.62,358.68
-206.19,1063.44,5.74,-15.16,17620.32,Rest,2714.68,553.13,High,583.89,-234.69,-540.15,-36.7,-181.66,-821.62,-37.88,4439.52,5.75,-13618.58,-128.62,2074.16,1683.4,4.87,-9.51,-5253.92,-9.44,62.28,360.69,17479.7,184.14,5,-330.09,17.3,236.64,2,170.43,2748.61
-225.21,1042.14,2.28,-22.84,8306.46,UK,2639.18,379.28,Very low,487.23,-261.87,-699.31,-44.2,-90.84,-1867.6,-82.07,6286.25,-1.67,6585.6,-163.3,2692.6,2302.26,4.53,-21.51,-7261.93,-5.06,50.82,278.61,16006.14,-41.94,1,-289.14,22.55,-1146.58,4,84.44,-861.2
-241.02,2426.37,0.24,-28.64,-1628.01,Rest,3649.1,45.76,Very high,690.57,-175.5,-1115.57,-36.48,-127.34,-725.12,-4.38,8649.05,0.37,-18184.5,-128.32,2400.68,3306.66,0.66,5.16,-6004.51,-1.94,68.01,199.95,17542.94,359.64,3,-359.67,15.06,-1269.22,6,126.57,-54.41
-326.49,1192.35,0.04,-15.66,-4773.75,UK,3735.7,-74.48,Very high,498.12,-404.52,-80.94,-43.5,-40.96,-819.86,-11.89,-3147.41,9.8,-10636.94,-78.42,2421.88,2284.84,2.09,-6.18,-10623.8,5.08,46.44,280.56,13494.58,183.51,5,-249.87,17.18,-1072.42,7,133.58,-426.62
-150.63,1138.65,0.16,-14.06,10661.82,UK,3912.6,657.51,Low,523.98,-450.63,-581.19,-43.54,-167.1,-731.46,-30.34,5526.09,11.22,-16744.54,0.34,2437.42,2813.58,2.47,-23.37,-7908.55,-7.7,39.81,285.03,23684.38,165.9,3,-397.29,18.5,-2295.46,4,190.26,249.37
-155.76,1457.61,2.8,-32.66,5188.68,Europe,2982.98,505.43,Very high,286.32,-65.61,-264.14,-27.98,-110.34,-937.02,-25.88,2126.38,4.85,-10910.56,-53.22,2628.19,2091.34,1.31,-10.5,-10696.78,-6.3,56.7,232.02,20681.26,100.17,4,-449.49,20.67,-1622.42,0,134.17,511.99
35.1,-88.17,4.86,-16.82,2364.78,Rest,2997.76,116.42,Medium,472.5,-254.22,-780.32,-20.12,-111.86,-1205.4,-51.03,4106.41,0.99,559.6,-0.44,3428.67,3009.96,6.22,-8.73,-8023.2,-8.52,41.58,278.97,9404.78,507.09,3,-369.72,15.14,-550.42,5,147.6,67.59
-213.24,1458.06,0,-17.12,9759.51,Rest,3877.28,41.29,Very high,788.94,-387.87,-643.05,-39.6,-32.66,-1703.96,-75.82,-2959.02,4.33,-6419.62,-41.28,2485,2907.68,3.47,14.25,-11356.08,4.42,55.77,430.5,26772.7,257.7,4,-323.88,13.85,-2363.68,7,85.57,46.44
-241.68,2785.05,5.64,-12.94,22095.03,Europe,6189.48,227.39,Low,355.32,-440.22,-339.97,-23.88,-52.26,-871.7,20.81,2317.63,0.76,-7274.26,-132.82,2519.49,2685.26,5.69,7.8,-10245.22,-11.2,47.37,137.31,27013.18,227.25,2,-346.08,14.5,-1648.06,5,190.51,1041.33
-223.41,191.85,0.42,-18.98,-4165.29,Europe,3028.74,-171.96,Very high,527.64,-232.17,-829.5,-39.14,-117.08,-1436.36,-40.39,4196.57,2.67,-3837.32,-27.62,2390.05,3610.78,1.58,-18.75,-9766.07,-2.96,40.53,249.99,22602.44,253.62,7,-543.39,31.5,-1700.16,2,153.98,240.35
-275.1,1176.99,1.18,-19.16,14178.39,Europe,3326.44,60.32,Very low,528.03,-126.21,-402.3,-31.24,-88.8,-1073,-37.87,165.26,6.86,-9559.16,-140.82,2423.49,2780.1,3.09,-21.6,-5349.09,-2.42,67.77,399.57,7777.66,243.99,1,-393.39,19.27,-881.34,4,153.38,23.18
-123.6,804.39,1.4,-18.82,-2025,UK,2941.64,418.38,Very low,471.45,-276.75,-205.79,-29.7,-160,-830,-18.6,1325.5,-2.9,396.04,-42.9,2788.52,3250.48,3.99,-8.01,-10898.24,-6.54,53.07,304.2,21105.26,151.86,6,-173.79,18.44,-1859.78,3,190.87,-611.04
-472.74,160.11,1.88,-15.5,1394.64,Europe,3791.1,227.89,Low,705.36,-129.6,-468.96,-28.78,-35.48,-1785.42,-45.41,4866.38,5.12,-14137.42,-155.36,2433.57,3043.76,4.18,-14.64,-12883.16,-7.92,49.98,277.98,23737.7,196.89,3,-161.25,22.99,-1544,3,1.55,376.91
-242.52,1304.16,5.06,-13.68,7680.18,USA,4459.6,824.23,Low,451.32,-210.69,-693.55,-32.92,-45.6,-1944.86,-4.17,3170.87,3.01,-9609.46,-87.84,2248.21,2837.9,1.51,-2.97,-8658.27,-7.64,54.27,334.8,17649.82,335.82,1,-316.47,20.69,-904.4,4,233.79,1432.73
-203.52,1580.1,0,-19.4,3919.29,Europe,2319.14,121.73,Low,355.23,-268.83,-579.87,-33.4,-140.6,-1600.7,-33.07,2185.47,5.07,-22408.88,-54.7,2580.97,2510.18,3.15,-12.36,-6915.02,-8.26,49.53,310.05,26581.58,197.49,5,-193.47,15.84,-726.08,3,246,-138.17
-180.27,1192.08,10.14,-16.18,7739.04,Europe,3853.66,457.2,Low,410.34,-92.94,-507.34,-36.34,-77.52,-911.64,-22.17,3247.67,3.39,-6112.38,-134.3,2461.87,1980.42,4.33,-8.28,-11327.77,-9.4,41.04,368.76,10271.4,120.84,4,-361.68,14.34,-1193.58,5,140.04,405.06
-171.63,2228.85,1,-20.74,6442.5,USA,3731.22,-47.74,Very high,552.51,-333.15,-600.85,-34.98,-158.12,-1124.38,-13.49,7064.09,-0.66,-6413.76,-100.86,1872.49,2288.2,1.72,23.34,-6182.76,3.52,78,261.39,18819.08,175.41,7,-320.82,29.56,-1707.12,2,111.99,1109.2
-516.42,-239.01,20.7,-13.1,3057.33,UK,2000.1,269.73,Very high,380.97,-22.08,-723.48,-27.34,88.54,-1203.02,-78.72,1879.8,4.66,8047.46,-54.14,2313.29,2126.8,1.03,23.49,-11236.95,-20.94,23.76,400.83,19534.9,307.65,4,-200.22,19.81,-1135.52,7,172.32,1323.11
-155.37,575.73,6.36,-15.26,-3173.16,Rest,3182.38,149.34,Medium,572.19,-256.83,-366.4,-36.26,-35.88,-1478.56,-16.73,2173.97,3.17,-9882.06,-97.76,3297.51,1832.24,2.02,-6.39,-6862.48,-4.14,25.77,284.88,26402.98,103.56,6,-313.5,25.49,-444.24,5,121.98,178.79
-118.53,1855.8,2.96,-37.46,5060.25,Europe,5036.38,-154.34,Very high,449.25,-305.34,-783.67,-47.84,-113.84,-2086.26,-24.08,11020.95,3.11,-6948.48,-127.22,2477.5,3118.46,1.93,4.17,-11436.92,-13.14,49.56,323.67,18061.92,350.25,1,-375.63,18.21,-1661.3,3,216.74,178.75
-38.58,2675.76,28,-20.52,-1828.83,Rest,2653.36,111.16,High,478.65,119.82,-567.53,-37.86,-120.56,-1595.44,-3.99,4089.25,5.96,-11265.16,-125.9,2205.18,2538.88,7.53,0.18,-7901.46,-10.28,76.53,409.02,17244.98,86.4,6,-479.55,26.81,-404.88,4,187.96,2793.95
-394.08,1218.12,178.84,-22.1,-2801.19,USA,3776.7,134.21,Very low,625.23,0.48,-253.22,-29.06,-66.58,-1680.54,-87.27,411.25,5.43,-7292.14,-94.34,2974.73,2384,1.81,2.37,-11788.16,-12.5,47.73,497.88,22618.92,41.01,5,-364.2,14.42,-1278.42,4,181.68,590.33
-123.93,1600.05,0.54,-13.64,13777.62,Europe,2325.54,644.24,Medium,1022.85,-283.2,-18.78,-44.88,-111.6,-2179.06,6.6,2941.95,5.74,-7844.38,-122.5,1872.6,2250.62,3.75,-12.6,-10452.73,22.82,54.66,680.28,24264.1,8.46,4,-172.38,20.88,-849.48,7,187.71,290.26
-194.88,2558.73,0.3,-16.06,-3533.73,Rest,3629.32,101.7,Low,521.88,-182.97,-505.96,-31.02,44.26,-928.78,0.98,2319.44,7.25,-2620.92,-94.08,2030.66,2444.4,0.63,-5.7,-13045.68,-1.92,58.59,551.73,16179.48,243.81,4,-251.91,19.66,-1548.3,5,184.31,1800.99
-274.74,2251.29,0.22,-15.92,-8627.13,UK,2908.7,277.36,Very high,710.94,-447.51,170.92,-38,-65.88,-2363.96,-31.71,2220.11,2.15,-1053.52,-178.86,2049.48,1591.32,2.79,-8.4,-9713.61,-13,32.85,470.64,29527.56,170.64,6,-399.48,12.5,-938.88,3,160.57,2360.34
-297,979.74,0.94,-19.46,-4915.68,USA,3172.3,591.97,Low,593.49,-294.78,-866.42,-40.54,-113.7,-2578.34,-13.03,-3818.77,5.36,1441.78,-78.2,2183.17,3158.08,8.83,13.41,-9988.7,-2.86,42.36,328.62,23169.76,219.84,5,-413.31,21.73,-2121.92,2,109.6,438.98
-229.89,168.99,0.22,-15.66,3634.89,UK,3952.56,301.88,Very high,507.6,-350.13,-716.49,-38.96,-126.14,-1631.48,-27.4,4355.33,4.33,-2856.18,-54.08,2304.07,2530.2,0.75,13.02,-7150.48,-3.54,49.56,332.31,26713.04,275.19,1,-265.32,15.52,-1411.3,5,198.99,526.69
-30.66,424.8,2.76,-12.88,229.89,USA,4061.82,713.68,High,366.9,-268.35,-424.67,-43.88,10.42,-2280.02,33.96,1638.86,5,-14029.76,-72.02,2373.08,1741.48,4.29,-3.09,-8106.1,-3.74,49.32,306.57,22158.72,92.28,5,-470.31,20.52,-980.26,3,107.7,1222.45
-400.38,1014.96,0.6,-14.7,1671.75,Europe,2719.08,-1.11,High,570.57,-105.57,-625.37,-31.4,-266.06,-814.84,-55.41,-1354.95,6.2,-13558.4,-103,2375.67,2070.34,7.06,-7.08,-9088.99,-23.84,50.88,473.91,14871.1,217.08,5,-313.68,15.39,-1486.04,4,230.08,367.63
-233.79,1873.86,51.32,-18.48,18216.45,USA,4272.42,-90.51,High,556.5,-253.08,-836.81,-34.66,-60.98,-1909.7,-21.47,756.32,-3.58,-8028.82,-74.32,2681.23,2793.42,0.59,-7.35,-9466.39,-13.76,49.95,421.59,9785.84,410.52,5,-426.84,25.61,-1456.76,7,170.84,951.55
-349.92,1285.02,0.42,-26.86,-7383.72,Rest,2739.9,24.43,Low,474.96,-532.08,-944.97,-31.78,-76.72,-2803.84,-50.03,2480.41,0.29,-7131.3,-62.02,3659.34,4241.74,6.36,-4.62,-8647.05,-10.96,42.96,105.63,17541.02,179.4,4,-205.38,26.76,-1640.16,3,250.72,-125.61
-259.98,1723.86,84.26,-37.56,7735.29,USA,4771.22,260.22,Medium,454.86,-257.22,-373.03,-30.8,-40.72,-1729.9,-29,-3407.85,0.32,-774.9,-57.28,2286.39,2374.96,5.07,-5.73,-8542.14,-6.84,78.39,294.09,22788.86,127.89,6,-290.58,18.55,-331.36,4,155.54,-628.52
-376.95,1721.01,4.02,-21.54,5248.68,USA,3322.92,108.36,Low,735.24,-225.39,-598.87,-30.32,-184.9,-337.58,-23.76,-191.62,2.89,-5212.48,-94.72,2573.96,3201.88,2.01,21.75,-9161.63,-8.42,48.84,334.71,25683.44,402.27,4,-488.28,14.71,-1461.2,3,147.07,625.2
-211.89,1793.76,0.4,-13.1,75.18,Europe,2186.1,-24.38,Medium,490.44,-118.68,-183.33,-35.54,-17.62,-1735.6,-63.97,4313.08,3.67,-10184.58,-38.4,2937.4,1215.68,2.95,-10.05,-14399.65,-17.98,22.89,339.36,20366.5,216.33,4,-406.23,28.31,-914.86,1,146.39,1304.49
-66.33,2892.72,19.56,-13.64,10572.27,Rest,3863.52,22.36,High,614.16,-207.39,-563.85,-42.32,-33.42,-2348.28,-28.57,6807.04,3.94,-2322.88,-118.06,1647.27,3905.76,0.68,12.18,-9072.75,-9.46,45.87,349.59,26916.08,232.08,3,-274.95,20.89,-214.34,2,201.36,3825.98
-319.44,2842.29,3.06,-16.9,8088.15,Rest,2765.06,85.82,High,592.62,-323.1,-508.61,-44.28,-3.32,-853.1,-38.66,6229.36,3.9,-15948.86,-52.76,2385.89,3272.68,2.92,-20.82,-8057.74,-12.52,57.27,270.36,21131.4,188.4,4,-249.75,16.19,-1319.58,6,168.12,2620.04
-137.07,2126.49,361.24,-19.18,8894.73,Europe,3548.02,1.05,Very low,474.18,-213.39,-706.82,-37.22,-52.5,-874.92,-8.61,-1840.2,3.21,-15550.56,-161.52,2352.44,2738.72,2.2,-1.47,-9723.39,1.04,44.4,318.48,22029.8,249.75,6,-396.09,19.17,-953.58,4,196.93,543.04
-266.85,1619.22,0,-16.44,-4374,Rest,3965.38,117.16,Very low,490.17,-214.02,-309.39,-31.88,-29.56,-2292.6,-45.27,1335.75,10.27,-7424.34,-116.62,2396.39,2373.18,5.89,10.98,-9225.48,1.16,40.14,199.35,23364.12,211.89,5,-461.91,18.15,-1444.68,4,202.48,-136.78
-208.41,540.12,18.16,-19.4,5671.41,Europe,4625,-178.86,Medium,694.41,-290.1,-667.49,-42.82,-143.24,-1749.58,-16.86,2355.74,2.09,-23423.6,-95.22,2702.25,2869.72,5.26,-7.65,-11874.47,-10.9,51.72,281.28,21701.12,390.96,5,-319.35,15.03,-1044.08,3,172.49,391.13
-174.36,1768.95,32.58,-18.9,9404.31,UK,4394.56,-323.93,Medium,575.16,-135.42,-733.47,-17,-41.54,-2282.66,-32.34,3144.33,2.24,-277.12,-108.08,2227.99,2345.26,4.32,-8.61,-13229.1,-7.36,58.32,391.98,23249.14,416.73,2,-327.99,22.42,-1885.48,2,179.4,2783.21
-139.92,1558.83,13.58,-15.66,27787.14,UK,4106.46,5.49,Low,802.47,-348.57,-807.68,-41.32,-4.8,-1548.66,-44.77,-3686.5,10.63,-2441.78,-136.66,2432.98,2310.52,8.66,5.64,-15460.36,-14.48,49.44,314.94,21430.4,51.12,3,-386.88,24.79,-1447.8,2,180.69,2729.79
-188.85,2389.02,0.58,-22.64,11696.79,Europe,4995.9,496.24,Very high,384.87,-286.53,-827.61,-38.04,-92.36,-1869.54,-10.76,8569,4.25,-12602.18,-74.64,3028.26,2722.16,5.74,-3.48,-2823.85,-4.36,56.16,331.44,21363.66,205.26,2,-328.71,19.52,-1103.98,4,140.97,391.5
-130.26,2812.35,1439.3,-15.86,21877.5,USA,3042.76,431.34,High,417.09,-163.77,-1216.06,-32.26,-13.62,-265.7,-90.1,3028.12,8.42,-12504.86,-80.72,2414.12,2448.88,2.3,-14.79,-11406.79,-6.3,47.07,444.27,20440.78,198.69,2,-293.97,18.46,-1211.2,5,170.59,3112.81
